id,user,uid,version,changeset,timestamp
325360675,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:53:03Z
325360676,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:53:03Z
325360677,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:53:03Z
325360678,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:53:03Z
325360679,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:53:03Z
325360680,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:53:04Z
325360681,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:53:04Z
325360682,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:53:04Z
325360683,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:53:04Z
325360684,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:53:04Z
325360685,Peter Dobratz_pdxbuildings,2573347,1,28499821,2015-01-30T07:53:04Z
